review,sentiment
"I grew up on the 'Superman II' theatrical version (""S2T"") and as a kid, I loved it more than Part I since not only did it contain more Superman and three Superman-type villains, it started off with a bang  the best Clark Kent to Superman transformations and rescue scenes. Kids no longer had to impatiently wait for Superman to appear on screen, as in part I. Now as an adult, I can see how the mighty had fallen with S2T (See: my review.) I've always heard of the back-story on how they prematurely and unjustifiably fired the original's director, Richard Donner from part II. (It must have been a rarity back then to film two separate movies simultaneously, now it's common: 'Back to the Future' and 'Matrix' 2 & 3 for example.) Unfortunately, after finally seeing the Richard Donner Cut (or, ""S2RD"") I still can't fully recommend it. Gone, was the great Superman change scene, the entire Paris rescue, as was the wonderful recap of part I in S2T's opening. In fact, they all but wrote the words: ""Previously on Superman"" in S2RD. The special effects weren't great in either Part I or S2T , but S2RD, they were mostly downright laughable  such as Lois falling from the Daily Planet window. I will admit, some new scenes worked and some they took out were welcomed departures, such as any scene in the ""honeymoon suite."" Overall, if you grew up on S2T as I did, and loved it as a child  not nitpicking as I do as an adult, you should absolutely see S2RD as it's almost a brand new childhood experience with dozens of new scenes. (Spoiler alert) Unfortunately, the worst change comes last: gone was also the weird amnesia kiss from S2T replaced with the exact same ending as 'I.' This is not only a lazy, unoriginal copout, it doesn't make sense on why Clark would go back to that diner, if those events never actually happened. And will he continue to ""turn back time"" for every confrontation?",negative
"I'm serious as well, I mean don't get me wrong, if you haven't got a bent for this type of Z grade, creaky creature feature {why would you be watching is my first thought?} then it's a rating of about 3 to 4 out of 10 tops, but to me it's a special kind of nonsense that takes me back to a nice time in my childhood. You know the kind, the memories that never leave you. Eagerly taking it all in with youthful wonderment as Doug McClure and Peter Cushing tunnel beneath the mantle to do battle with a host of creatures and sub-human species'. And guys,! now we are all grown up we can admire most seriously at the wonder of Caroline Munro and her heaving cleavage. No wonder my older brother was keen to take me to the cinema to see this one!.<br /><br />Yes the effects are bad, men in suits, strings pinging parrot monsters around and exploding rubber frog like thingies amuse us greatly. And yes, Cushing and a surprisingly pudgy McClure act as if they have truly been mesmerised by the evil Meyhas at the ""core"" of our film. But it matters not, zany and clunky and awash in glorious colour, At The Earth's Core is a throwback to a special pre-ILM time when kids like me queued around the block to see such joyous nonsense. 8/10",positive
"First of all, the only reason people keep bitching about this film is because they can't stand a few parts of the true story being ""altered"". Well guess what? Peter Jackson's film wasn't a perfect rendition either. Well enough ranting. This is a very beautiful film. The backgrounds are gorgeous and taken from well known Tolkein artists. The film covers about half the trilogy (Fellowship of the Ring and up to the battle of Helms Deep in the Two Towers) and moves at a good pace. The voice casting is top notch and the most of the characters look like I imagined they would. Samwise is a bit too ugly for my tastes, but Aragorn looks AWESOME. The film has a great score that completely supports the movie. If you enjoy good fantasy stories but hate reading (the books are even better) give this movie a try, keeping in mind it was made 20 odd years ago.<br /><br />Also of particular note: Peter Jackson's adaption of Fellowship follows almost exactly the same strand as Ralph Bakshi's (Jackson has said many times how much he admired Bakshi's effort).",positive
"This movie was everything but boring. It deals with reality. To the people who think this movie was boring, open your eyes to the real problems in our society. Our children are dying. The consequences of alcohol and drug abuse are not to be ignored. I work in a correctional facility as a chemical dependency counselor,and i deal with these problems every day. People of all ages and all walks of life are effected by the consequences of their alcohol and drug abuse. It destroys families, hurts people and leads to serious brain damage,all kinds of health problems, and death. It is all preventable. This movie should be shown in every high-school in the world. If anyone owns this movie and wants to sell it, or sell me a copy, please e-mail me at: Ottenbreit2@netzero.net thank you",positive
"And how it made it into production astounds me. The main character is an obnoxious show off who isn't the least bit funny. I can't stand the character at all. He's a dumb ass with nothing to offer the show. <br /><br />This is the worst cartoon to surface in the last 10 years, no joke. The story lines are both poorly written and executed. The jokes are as bad as the ones on Disney's Sweet Life of Zack and Cody. I could not dislike this show more, it's terrible and should be canceled. Even the theme song is bad. The title, even worse.<br /><br />It's as though this show is written by a couple of 15 year olds that based the character on themselves and think they're hot stuff when they're really just arrogant and lack creativity as well as humor.<br /><br />Johnny Test, go away far and fast!",negative
"The last of the sequels,not counting Abbott and Costello meet Frankenstein which was more or less a spoof.this time count Dracula (John Carridine)takes center stage seeking a cure for his vampirism from a kindly doc(Onslow Stevens).well good ole Larry Talbot(Lon Chaney Jr)shows up also seeking a cure.the good doc succeeds in curing Larry's werewolfism,but Dracula tricks the doc and ends up contaminating his blood and makes the good doc a crazed lunatic.oh and all this time big Franky(Glenn strange)lies on a table awaiting his electricity fix so he can wreak some havoc.this was kind of a short movie,around 70 minutes and some change,but the action is there,and the great actors are there as well.Lionel atwill turns up as a police inspector,heres some trivia,Lionel atwill appeared in son of Frankenstein,ghost of Frankenstein,Frankenstein meets the wolf-man,and house of Frankenstein. and then this one.if there was another in the series they May have added the creature from the black lagoon to the line up,I'm giving house of Dracula 8 out of 10.",positive
"Revisiting old films that you thought were average isn't necessarily a good thing. They sometimes get worse. Championed by the Fangoria camp (in Gorezone they labeled it ""the scariest film since Texas CHAINSAW""um, no), LUTHER THE GEEK inexplicably developed a cult following as an ""intense"" horror picture. Actually, it is just an average stalk and slashuh, bite film that briefly sets itself aside from the pack by featuring a killer who clucks like a chicken. Yes, clucks like a chicken. To the filmmaker's credit, at least they didn't make the killer sound like a duck a la THE NEW YORK RIPPER. That would just be silly.<br /><br />Narrative logic is completely abandoned in LUTHER THE GEEK. I'm not saying that slasher films are abound with reason, but at least in HALLOWEEN Michael Myers escaped. Luther is actually paroled after a lengthy scene where people argue he is reformed, even though he clucks like a chicken and has razor dentures (which he apparently fashioned in prison). It is the kind of film where a couple sees a bashed in door and the girl dismisses it by saying, ""Oh, my mom must have forgotten her keys. She forgets a lot of things since my dad died."" The kind of film where the hysterical mother runs into a cop looking for Luther and tells him, ""The killer is in my house!"" So what does he do? He grabs her and literally drags her back to the house and says, ""Just show me where he is and I'll do the rest."" Why not call back up? <br /><br />It is too bad the film is filled with such horrible action and dialogue because the Luther character is actually pretty interesting. Most of the credit goes to Ed Terry, a dead ringer for Tom Noonan in MANHUNTER, who gives the clucking Luther a genuine air of menace. In the hands of a right director, LUTHER THE GEEK could be on the same level as SONNY BOY or SANTA SANGRE and be a true cinematic oddity. But Albright is not that director and merely places the fascinating character of Luther in tedious slasher trappings.",negative
"The title song for this movie ...........is the greatest free spirited ballad ever written! ! ! ! ! ! ! ! ! <br /><br />I first saw this movie back in 1978-79 when I first subscribed to cable. In 1979 cable was just starting to become common place in homes. (or at least that when it was becoming common here in Missouri).<br /><br />This might very well be the first movie I ever watched on the pay channel called ""The Movie Channel"" - which was called ""The Star Channel"" back then, they changed the name to ""The Movie Channel"" in the early 1980's........I received a free month of ""The Star Channel"" with my new cable subscription. ""The Van"" was one of the movies that was in heavy rotation on that network at that time.<br /><br />I remember watching this movie back then, and thinking it was a typical teen flick(along the same lines as other medium budget teen flicks) ...the ones where the plot revolves around nudity and parties.<br /><br />I totally forgot that this movie even existed until I recently seen this movie again after having not seeing it for decades( I found a copy of it on DVD for sale in cheap bin) I recognized it, and bought it for a mere $4.99.<br /><br />Seems like I had remembered this film being much better that it was(is). However watching it back then was a different experience than watching now(30+ years later).<br /><br />It was fun to see the kids listing to rock n roll music, smoking weed, and having sex in the back a fancy van(often all at the same time). This is what a good teen party movie should be.<br /><br />There isn't much of a plot other than the fact that the main character fantasizes about having sex with his arch rivals good looking girlfriend ...he blows all of his college savings money to purchase a tricked out Dodge Van(with shag carpet walls . mirrored ceiling and a water bed in it)to get her attention, and he eventually gets to have sex with her. But his arch rival finds out and comes looking for him (so that the two of them can settle their differences by drag racing their vans)....he and his arch rival end up wrecking both of their vans, and instead of stealing away his arch rivals girlfriend, he wins over the heart of a preppy(lesser attractive) girl that he half/ass dates through most of the movie and he decides he is happier/better off and the movie ends.<br /><br />the movie does have it's funny moments. But watching this movie 30+ years later, it becomes more of a trip down memory lane. Because I still can remember Pizza parlors, pinball arcades, It also brought back memories of cruising around a small town while we smoked pot as we would yell at good looking girls and hoping to get laid (sometimes I'd get lucky and get some decent looking girl to share a joint with me and we'd screw in the backseat afterwords, I also remember many of the songs in this move(when they were new)......this movie serves as a perfect time capsule for that era in those regards (brought back lots of memories)<br /><br />the one thing that is depicted in this movie that I honestly can not remember is ....I never remember a time when full sized vans were as popular as this film depicts them as being. I remember that era very well, and I don't young men going around wishing they had a van. Instead I remember young men in the 70's (self included) wanting a Pontiac Trans Am, Chevy Camaro or a hot rod Ford Mustang, but never a van. This movie makes it appear as if vans were most popular item going and that every young man wanted one(which just wasn't true of that era)",negative
"Andie MacDowell's facial expressions are great again in this movie. When you enter 40 and have been single for a while (or all your life) you may feel you are wasting away. The movie is a sweet reminder that love can be found just anywhere if your antennae is acutely active. I liked the quick sexual encounter, which must be out of character for a normally reserved school teacher (MacDowell). Her ex-student is cute enough, still carrying a crush on his teacher for so long. <br /><br />There are some parts that I thought rather unrealistic or unpractical, though. For example, at a scene where the other women's jealousy override and a scene was set up to make Andie MacDowell dump the young man, would a mature police officer (the other friend of MacDowell) allow her friend to do such a sinister act? Is it so easy for anyone to not stop in front of a car? Of course accidents happen all the time, but I hoped to see the heroine get happily married with the first man she got involved with (that was the hardest part to believe!! For such a beautiful woman to stay single for so long??)... <br /><br />Maybe the movie producers are aware of the fact that many romance between an older woman and a younger man do not last for long. Beside they know that a happy ending would not appeal to the public, especially to jealousy women over 40, who are waiting some miracles to happen. The sad ending with a glimpse of hope for the sad woman who lost her true love is sweet, but if the man continued to live, would that last? For how long? Nobody knows. Nonetheless, it's a movie to make you want to watch it again sometime later.... a year later maybe.",positive
"I would like to say that curiosity got the best of me. If only I saw a trailer, I'd be able to tell you the whole plot of the movie; I could have saved myself the most pointless one hour and forty minutes in my entire life, and about twenty dollars. This movie was a disaster waiting to happen, and it is an embarrassment to Hollywood.<br /><br />The movie displays a vivid ignorance of reality. For example, this kid's remote control race car goes all over the neighborhood, and even enters this house. It's even covered with clothes. Is it not rational to believe that a remote can no longer transmit a signal under those circumstances? Hollywood obviously did not believe so. Common logic and any concept of electronics dictates the opposite; I doubt the race car could even have reached the street, let alone a house across the street. Another unrealistic trait is the lack of intelligence the criminals possess. Why is it in all these movies, these criminals are rocket scientists until they encounter an eight-year old? The kid is meant to be the most intelligent person in the movie instead of professional terrorists? Please, there's more reality in The Matrix. Also, the leader puts down his real pistol and ""accidentally"" picks up a plastic pistol; apparently, he could not tell the difference. Even with a glove on, one should be able to do that. Just because they look the same does not mean anything; there is other senses then sight. The traps are unrealistic as well; if any one of them actually worked, the criminals would be dead. But, Hollywood intends for us to ""laugh"" at the ""funny"" results of the traps. I did not laugh; I sighed and rolled my eyes.<br /><br />But, I recommend this movie to anyone who thinks they have seen a really bad movie; the movie they saw will seem like Citizen Kane compared to this one. Otherwise, skip this one for the sake of your pride. Home Alone 3 also raises a question. We all know Alex D. Linz stars in the movie, but did he write it as well?",negative
