news,off
"""We think measures like this visa ban and the executive order not only allow us to target people who are behind this and complicit in it, but they raise the cost of going along with it,"" said the official, who did not have authorization to speak on the record.",1
"But he also has a reputation as a strategist who falls hard personally for his candidates, as he did for George W. Bush, for whom he switched sides in the 2000 and 2004 presidential campaigns.",0
""" Last month, some Obama administration officials said such talks had been agreed to in principle, but that was later denied in Washington and Tehran.",1
"Sean Spicer, who will be the White House press secretary, said that Mr. Trump had chosen people for their expertise, not their ability to parrot his own positions.",0
"A police official said Mr. Churkin had a history of medical problems, including leukemia and heart ailments.",1
"But the statement also noted that the two leaders merely ""exchanged views"" on several topics, suggesting a lack of agreement in those areas.",0
"The drones have flown over Latakia, western Idlib, and western Hama, according to a senior United States official who spoke on the condition of anonymity to discuss confidential intelligence assessments.",1
Toggling between a career as a photojournalist and a White House photographer -- he was also a photographer in the Reagan White House -- Mr. Souza has honed an ability to crouch and shrink to capture the details no one else sees.,0
"""     To galvanize his party, and to pull back many of the Independents who lean their way, Mr. Gore needs to draw sharp contrasts with the Republicans, many Democratic strategists agree, particularly on basic issues like tax cuts and health care.",1
"(One expert abstained.) Some analysts see a victory for Glaxo, in that 20 of the panelists voted to retain the drug.",1
"And White House officials insist that the policies laid out in his speeches, whether on the use of force or the nature of the terrorist threat, are rigorously consistent.",1
. . .,0
"One example, according to Clarke, was his persuading the conservative Republicans Charles Halleck, the House minority leader, and Everett Dirksen, the Senate minority leader, to support a civil rights bill.",0
"As the budget negotiations move forward, Mr. Mulvaney, a former representative from South Carolina who once favored government default over adding to the deficit, will be instrumental in persuading his old colleagues that Mr. Trump has the right approach.",0
"Officials were repeatedly accused of suppressing or even altering research findings, particularly on climate change, to match the political views of the White House.",0
"But in the primaries, most statewide candidates have a nobody problem -- voters do not know them.",0
"This bill, though, is as close to a moment of consensus as can be achieved.",0
"People familiar with the negotiations say that in addition to the responsibilities of the reconfigured board, Mr. Bloomberg and Mr. Silver are still disagreeing over how to protect city schools from budget cuts in years to come and whether to abolish the 32 community school boards.",1
"""This is an opportunity year for the Democrats, and that's more true now than it was two weeks ago,"" said Tim Storey, an elections expert with the National Conference of State Legislatures who tracks state legislative contests.",0
"He got on his plane in Columbus, according to campaign advisers, but had reservations about pressing on.",1
"But they should not underestimate Mr. Trump's chances next year, some experts said.",1
"But officials said that the provision encountered almost immediate resistance both from intelligence officials and Republican lawmakers, some who have fought against any changes to the way the targeted killing program has been managed.",1
Republicans say that large jumps in the immigrant population have also prompted them to act to safeguard elections.,0
"""If Bush can do to Gore what Reagan did to Carter -- make him look pedantic, like a wonk who is out of touch -- he may very well prevail,"" said Alan Schroeder, a political scientist and the author of ""Presidential Debates: Forty Years of High-Risk TV"" (Columbia University Press, 2000).",0
"Many of those new voters would be young, poor or minorities -- groups that tend to support Democratic candidates, Mr. Bird said.",0
Democratic Congressional aides said Sunday that some telecommunications company officials had told Congressional leaders that they were unhappy with that provision in the bill and might challenge the new law in court.,1
"""Before the state supreme court, the state argued that rational reasons exist for a biology-based birth registration regime, reasons that in no way offend Obergefell -- like ensuring government officials can identify public health trends and helping individuals determine their biological lineage, citizenship or susceptibility to genetic disorders.""",0
Other people informed about his condition said the president has cold-like symptoms.,1
University of Chicago officials said classes would resume on Tuesday.,1
"For example, when a Clinton donor's credit card was mistakenly charged twice, the campaign included both donations in its first-quarter totals, sometimes with a notation saying one of them would be ""refunded next period.",0
"In a bizarre coda, one of the governor's aides later e-mailed reporters the full text of the message, which revealed that Mr. Rowland had left out two lines.",1
"Mr. Whitaker has appeared eager to please the president in meetings in the Oval Office, according to two people with direct knowledge of his visits there.",1
"He was not close to George W. Bush, whose own election was not yet assured.",0
"When the poll has asked self-identified independents -- representing about 40 percent of voters -- whether they lean to one party or another, the Democrats come out far ahead.",0
"In New Delhi, a top official noted that the government had lodged two formal complaints about China's plan to build a highway through Pakistan-administered Kashmir, a border area also claimed by India.",1
"Indeed, 10 ZIP codes in 2016 accounted for $500 million of the $5 billion total raised in all federal elections, according to an analysis by The New York Times of data from Open Secrets, a campaign finance watchdog.",0
"""They will also be looking to see if Trump is looking towards a long path with North Korea and looking towards diplomacy eventually,"" said Lisa Collins, a Korea scholar at the Center for Strategic and International Studies.",0
"A recent decision by the Supreme Court, in Lagos v. United States, will make life more difficult for corporations hoping to recoup some of those costs from employees who violated the law.",0
"Without coverage against terrorist acts, banks will not lend to new construction, it will be difficult to sell major projects such as new pipelines, new power plants, skyscrapers,"" an administration official said.",1
"Equally remarkable, the meeting started almost on time, with no dramatic entrances by board members trailing aides and the occasional police escort.",0
"In May, Mr. Obama's former speechwriter Jon Favreau and Dan Pfeiffer, a former senior White House adviser, started the weekly ""Keepin' It 1600.",0
"And Carolyn Gerdin, 77, whose disputed property has been her family's retreat since the early 1950s, said: ""Even people upstate don't know what you're talking about when you're talking Township 40.",0
Officials at the Pentagon say military planners are examining and updating a variety of contingencies for possible military action against Iran.,1
"As that round of talks concluded in mid-May, the White House said that China had committed to buying more agriculture and energy exports, but noted that American officials would travel to China to work out the details of their agreement.",0
Even asking three policy experts might yield three different answers.,0
"Mr. Trump was introduced by three cabinet officials, including the Environmental Protection Agency administrator, Scott Pruitt.",0
"A major United Nations report says that by 2040, the world could face worsening food shortages, wildfires and a mass die-off of coral reefs.",0
"""The net of it is not as if the economy is collapsing, but it wasn't really as strong as it looked in December, January and February,"" said Jim O'Sullivan, United States economist at High Frequency Economics.",0
"The witnesses, a couple, said Mr. Rosario had been staying with them in Deltona, Fla., on the day of the murder.",1
"Mr. Trump updated the donors on some of the most pressing issues facing his administration, including its ongoing negotiations with China over trade and North Korea over nuclear weapons.",0
Both the public and many Republican mayors said that's naive.,1
He said he expected to keep talking with Amazon on how the two sides would deal with those issues.,0
"While many crucial details remain to be completed in the months ahead as the agency begins to write new rules, the notice of proposed rulemaking issued by the commission on Wednesday was its first formal step into a subject of considerable controversy.",0
"Speaking on the NBC program ""Meet the Press,"" Mr. Cheney echoed other senior officials in declaring that nations harboring terrorists like Osama bin Laden, the prime suspect in last week's attacks, would face ""the full wrath of the United States.""",0
"Hampered by problems at the sites of the new classrooms, by delays in hiring teachers and by union disagreements over supervisors, city officials were forced to scale back their plans significantly.",0
"Mr. Obama has denied that his attention to the issue is about the elections, saying it is personal because he is the son and husband of strong women and the father of two girls.",0
She added that the Trump campaign did not know Mr. Thorburn and was not familiar with Goldman's personnel policies.,0
"A number of Senate Republicans, including Mr. McCain, Chuck Hagel of Nebraska and Lindsey Graham of South Carolina, said that they were reaching out to their House colleagues and that some seemed interested in finding common ground.",0
"According to an analysis of his news conferences undertaken last year by Buzzfeed, Obama has used ""folks"" 7.3 times per 10,000 words, compared with George W. Bush's 2.2 per 10,000 words.",0
"It has yielded more than $257 million in sales, according to government investigators.",1
"Jared Loughner, the man accused of the Arizona shootings, apparently received no mental health treatment, even though officials at his college were very concerned about his mental state.",0
